visit_id,client_id,Variation,successful_visit,step_count,visit_duration,confirm,start,step_1,step_2,step_3
100012776_37918976071_457913,3561384,Test,False,1,0.0,1,0,0,0,0
100019538_17884295066_43909,7338123,Test,True,9,226.0,1,1,4,2,1
100022086_87870757897_149620,2478628,Test,True,5,180.0,1,1,1,1,1
100030127_47967100085_936361,105007,Control,False,1,0.0,0,1,0,0,0
100037962_47432393712_705583,5623007,Control,False,2,8.0,0,1,1,0,0
100057941_88477660212_944512,4823947,Control,False,7,254.0,0,1,2,2,2
10006594_66157970412_679648,3479519,Control,True,7,354.0,1,1,1,1,3
100071743_53464757454_616703,3432704,Control,False,1,0.0,0,1,0,0,0
100096068_8301717872_987164,8306812,Control,False,2,13.0,0,1,1,0,0
100105975_18174738494_196339,9852814,Control,False,1,0.0,0,1,0,0,0
100173292_91322748906_143563,8631696,Test,True,5,95.0,1,1,1,1,1
100221419_95702886123_228743,6002181,Test,False,1,0.0,0,1,0,0,0
10024125_38177552152_999695,3852267,Control,False,2,21.0,0,1,1,0,0
100254180_47139859079_984581,984526,Control,True,5,341.0,1,1,1,1,1
100293270_70949014562_696814,8976740,Test,True,5,209.0,1,1,1,1,1
100309269_21684743336_936307,7224020,Control,True,5,240.0,1,1,1,1,1
100321067_78502191718_46799,2540907,Test,True,5,134.0,1,1,1,1,1
100393582_40120493420_784218,2930525,Test,False,2,72.0,0,1,1,0,0
100398738_80691628792_341470,2289897,Control,False,1,0.0,0,1,0,0,0
10043239_12589390657_342180,5269746,Control,False,1,0.0,0,1,0,0,0
10045388_98429038488_557266,9268742,Control,False,5,101.0,0,1,2,2,0
100471971_3065983298_584030,3673713,Control,True,5,154.0,1,1,1,1,1
100475449_39139591577_836652,3393250,Test,False,1,0.0,1,0,0,0,0
100524954_75571477869_827571,2301536,Test,False,1,0.0,0,1,0,0,0
100535920_68686957750_105554,1066226,Control,False,3,34.0,0,1,1,1,0
100559681_42553631610_873319,663873,Test,True,5,203.0,1,1,1,1,1
100583476_33244068453_144866,8187622,Control,False,4,168.0,0,1,1,1,1
100608591_65788886975_921579,8860154,Control,True,5,104.0,1,1,1,1,1
100626049_75683476209_342098,8241291,Test,False,1,0.0,0,1,0,0,0
100639462_26969211619_298031,4074233,Test,False,4,65.0,0,1,1,1,1
100647528_93869859601_746654,1244412,Control,False,1,0.0,0,1,0,0,0
100665997_91063490926_34691,237182,Control,False,4,88.0,0,1,1,1,1
100696989_79957693336_140112,9573973,Control,False,2,4.0,0,1,1,0,0
100725513_11346861413_977724,8780422,Test,False,2,8.0,0,1,1,0,0
100733473_61604582110_215085,9956593,Control,True,5,335.0,1,1,1,1,1
100742196_25888718318_18393,5730234,Control,True,5,144.0,1,1,1,1,1
100751264_35071231525_844320,2211630,Test,True,5,372.0,1,1,1,1,1
100762504_13289430422_745035,9886162,Test,False,1,0.0,1,0,0,0,0
100768839_4432812320_405870,3467432,Control,True,5,447.0,1,1,1,1,1
100786061_71646122803_371815,2460796,Test,False,2,39.0,0,1,1,0,0
100810638_79925673386_145828,8342684,Control,False,1,0.0,0,1,0,0,0
100847537_74227021314_737120,9957303,Control,False,2,22.0,0,1,1,0,0
100882938_11703227433_775210,5122676,Test,False,1,0.0,0,1,0,0,0
100888777_10698693955_921935,8133621,Control,False,1,0.0,0,1,0,0,0
100911179_58982643631_833777,7922438,Control,True,5,295.0,1,1,1,1,1
100917321_50724715049_405133,666049,Control,False,1,0.0,0,1,0,0,0
100940549_99510656_854293,3272226,Test,True,5,158.0,1,1,1,1,1
100982387_94833499276_254813,4337769,Control,True,5,180.0,1,1,1,1,1
100995466_7789612733_596938,942896,Test,False,1,0.0,1,0,0,0,0
101011654_3078115058_237331,7761531,Test,True,5,107.0,1,1,1,1,1
101018131_98163417200_901367,3624120,Control,False,1,0.0,0,1,0,0,0
101030486_64770311115_334089,4318876,Test,True,5,250.0,1,1,1,1,1
101093819_66558027327_682204,158047,Test,False,1,0.0,0,1,0,0,0
101094131_85383261552_788150,4496382,Control,False,2,46.0,0,1,1,0,0
101095789_10442518934_382326,8076869,Test,False,1,0.0,0,1,0,0,0
10110963_12018428476_773812,4965716,Control,False,1,0.0,0,1,0,0,0
101114217_62558506460_651777,9132456,Test,False,3,57.0,0,1,2,0,0
101127163_76213781950_64100,5102064,Control,True,7,262.0,1,1,2,2,1
101140098_34485335341_198445,2619274,Control,False,2,6.0,0,1,1,0,0
101140215_44015987399_153386,174238,Test,False,1,0.0,1,0,0,0,0
101143883_71782939078_772553,3351016,Control,True,7,157.0,1,1,2,2,1
101299207_34352941387_283858,5189898,Control,True,5,136.0,1,1,1,1,1
10132415_28171840649_223256,2086680,Control,True,5,271.0,1,1,1,1,1
101339145_59030942252_195139,9506863,Test,False,3,154.0,0,1,1,1,0
101351075_24045289214_506540,7795550,Test,True,5,122.0,1,1,1,1,1
101353522_64535639660_69005,1187711,Test,True,5,392.0,1,1,1,1,1
101356945_38257202995_214098,1113720,Control,False,2,31.0,0,1,1,0,0
101389230_14746485715_507991,6446363,Test,False,1,0.0,1,0,0,0,0
101392314_91331340315_841624,859069,Test,False,1,0.0,1,0,0,0,0
101420660_70864320063_268486,4167905,Control,True,5,172.0,1,1,1,1,1
